days,Total de infectados en Argentina,Total de muertos en Argentina,Ciudad Autónoma de Buenos Aires,Provincia de Buenos Aires,Catamarca,Chaco,Chubut,Córdoba,Corrientes,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán
2020-03-05 00:00:00,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-06 00:00:00,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-07 00:00:00,9,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-08 00:00:00,12,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-09 00:00:00,17,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-10 00:00:00,19,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-11 00:00:00,21,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-12 00:00:00,31,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-13 00:00:00,34,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-14 00:00:00,45,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-03-15 00:00:00,56,2,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-16 00:00:00,65,2,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17 00:00:00,79,2,4,2,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2020-03-18 00:00:00,97,2,10,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19 00:00:00,128,3,8,15,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2020-03-20 00:00:00,158,3,9,9,0,1,0,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
2020-03-21 00:00:00,225,4,29,15,0,5,0,4,2,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,3,1
2020-03-22 00:00:00,266,4,12,8,0,7,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
2020-03-23 00:00:00,301,4,11,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
2020-03-24 00:00:00,387,6,30,30,0,9,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,4,0
2020-03-25 00:00:00,502,8,21,30,0,12,0,15,0,3,0,0,0,0,1,0,1,0,0,0,4,5,22,0,1,2
2020-03-26 00:00:00,589,12,30,27,0,3,0,3,0,0,0,2,0,0,1,0,3,0,0,0,1,2,12,0,3,0
2020-03-27 00:00:00,690,17,43,36,0,3,0,5,2,3,0,0,0,0,1,1,4,3,0,0,0,0,9,1,0,6
2020-03-28 00:00:00,745,19,18,8,0,5,0,1,4,0,0,0,0,0,1,0,2,0,0,0,0,0,13,0,4,0
2020-03-29 00:00:00,820,20,13,16,0,4,0,18,1,0,0,0,2,1,1,1,0,0,0,1,0,0,13,0,4,0
